 z     x    y     azimuth    dip    src/rec(0/1)
   20.0000000       2880.00000               0           0           0           1
   20.0000000       2900.00000               0           0           0           1
   20.0000000       2920.00000               0           0           0           1
   20.0000000       2940.00000               0           0           0           1
   20.0000000       2960.00000               0           0           0           1
   20.0000000       2980.00000               0           0           0           1
   20.0000000       3000.00000               0           0           0           1
   20.0000000       3020.00000               0           0           0           1
   20.0000000       3040.00000               0           0           0           1
   20.0000000       3060.00000               0           0           0           1
   20.0000000       3080.00000               0           0           0           1
   20.0000000       3100.00000               0           0           0           1
   20.0000000       3120.00000               0           0           0           1
   20.0000000       3140.00000               0           0           0           1
   20.0000000       3160.00000               0           0           0           1
   20.0000000       3180.00000               0           0           0           1
   20.0000000       3200.00000               0           0           0           1
   20.0000000       3220.00000               0           0           0           1
   20.0000000       3240.00000               0           0           0           1
   20.0000000       3260.00000               0           0           0           1
   20.0000000       3280.00000               0           0           0           1
   20.0000000       3300.00000               0           0           0           1
   20.0000000       3320.00000               0           0           0           1
   20.0000000       3340.00000               0           0           0           1
   20.0000000       3360.00000               0           0           0           1
   20.0000000       3380.00000               0           0           0           1
   20.0000000       3400.00000               0           0           0           1
   20.0000000       3420.00000               0           0           0           1
   20.0000000       3440.00000               0           0           0           1
   20.0000000       3460.00000               0           0           0           1
   20.0000000       3480.00000               0           0           0           1
   20.0000000       3500.00000               0           0           0           1
   20.0000000       3520.00000               0           0           0           1
   20.0000000       3540.00000               0           0           0           1
   20.0000000       3560.00000               0           0           0           1
   20.0000000       3580.00000               0           0           0           1
   20.0000000       3600.00000               0           0           0           1
   20.0000000       3620.00000               0           0           0           1
   20.0000000       3640.00000               0           0           0           1
   20.0000000       3660.00000               0           0           0           1
   20.0000000       3680.00000               0           0           0           1
   20.0000000       3700.00000               0           0           0           1
   20.0000000       3720.00000               0           0           0           1
   20.0000000       3740.00000               0           0           0           1
   20.0000000       3760.00000               0           0           0           1
   20.0000000       3780.00000               0           0           0           1
   20.0000000       3800.00000               0           0           0           1
   20.0000000       3820.00000               0           0           0           1
   20.0000000       3840.00000               0           0           0           1
   20.0000000       3860.00000               0           0           0           1
   20.0000000       3880.00000               0           0           0           1
   20.0000000       3900.00000               0           0           0           1
   20.0000000       3920.00000               0           0           0           1
   20.0000000       3940.00000               0           0           0           1
   20.0000000       3960.00000               0           0           0           1
   20.0000000       3980.00000               0           0           0           1
   20.0000000       4000.00000               0           0           0           1
   20.0000000       4020.00000               0           0           0           1
   20.0000000       4040.00000               0           0           0           1
   20.0000000       4060.00000               0           0           0           1
   20.0000000       4080.00000               0           0           0           1
   20.0000000       4100.00000               0           0           0           1
   20.0000000       4120.00000               0           0           0           1
   20.0000000       4140.00000               0           0           0           1
   20.0000000       4160.00000               0           0           0           1
   20.0000000       4180.00000               0           0           0           1
   20.0000000       4200.00000               0           0           0           1
   20.0000000       4220.00000               0           0           0           1
   20.0000000       4240.00000               0           0           0           1
   20.0000000       4260.00000               0           0           0           1
   20.0000000       4280.00000               0           0           0           1
   20.0000000       4300.00000               0           0           0           1
   20.0000000       4320.00000               0           0           0           1
   20.0000000       4340.00000               0           0           0           1
   20.0000000       4360.00000               0           0           0           1
   20.0000000       4380.00000               0           0           0           1
   20.0000000       4400.00000               0           0           0           1
   20.0000000       4420.00000               0           0           0           1
   20.0000000       4440.00000               0           0           0           1
   20.0000000       4460.00000               0           0           0           1
   20.0000000       4480.00000               0           0           0           1
   20.0000000       4500.00000               0           0           0           1
   20.0000000       4520.00000               0           0           0           1
   20.0000000       4540.00000               0           0           0           1
   20.0000000       4560.00000               0           0           0           1
   20.0000000       4580.00000               0           0           0           1
   20.0000000       4600.00000               0           0           0           1
   20.0000000       4620.00000               0           0           0           1
   20.0000000       4640.00000               0           0           0           1
   20.0000000       4660.00000               0           0           0           1
   20.0000000       4680.00000               0           0           0           1
   20.0000000       4700.00000               0           0           0           1
   20.0000000       4720.00000               0           0           0           1
   20.0000000       4740.00000               0           0           0           1
   20.0000000       4760.00000               0           0           0           1
   20.0000000       4780.00000               0           0           0           1
   20.0000000       4800.00000               0           0           0           1
   20.0000000       4820.00000               0           0           0           1
   20.0000000       4840.00000               0           0           0           1
   20.0000000       4860.00000               0           0           0           1
   20.0000000       4880.00000               0           0           0           1
   20.0000000       4900.00000               0           0           0           1
   20.0000000       4920.00000               0           0           0           1
   20.0000000       4940.00000               0           0           0           1
   20.0000000       4960.00000               0           0           0           1
   20.0000000       4980.00000               0           0           0           1
   20.0000000       5000.00000               0           0           0           1
   20.0000000       5020.00000               0           0           0           1
   20.0000000       5040.00000               0           0           0           1
   20.0000000       5060.00000               0           0           0           1
   20.0000000       5080.00000               0           0           0           1
   20.0000000       5100.00000               0           0           0           1
   20.0000000       5120.00000               0           0           0           1
   20.0000000       5140.00000               0           0           0           1
   20.0000000       5160.00000               0           0           0           1
   20.0000000       5180.00000               0           0           0           1
   20.0000000       5200.00000               0           0           0           1
   20.0000000       5220.00000               0           0           0           1
   20.0000000       5240.00000               0           0           0           1
   20.0000000       5260.00000               0           0           0           1
   20.0000000       5280.00000               0           0           0           1
   20.0000000       5300.00000               0           0           0           1
   20.0000000       5320.00000               0           0           0           1
   20.0000000       5340.00000               0           0           0           1
   20.0000000       5360.00000               0           0           0           1
   20.0000000       5380.00000               0           0           0           1
   20.0000000       5400.00000               0           0           0           1
   20.0000000       5420.00000               0           0           0           1
   20.0000000       5440.00000               0           0           0           1
